Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a8f621f8-5847-eb45-6038-24aa206cec10,1996-12-19,,999-60-8448,S99958100,X76979525X,Mr.,Steven797,Willy639,Sipes176,,,S,black,hispanic,M,Woburn  Massachusetts  US,189 Kulas Wynd,Boston,Massachusetts,Suffolk County,25025,02199,42.31068113637836,-71.13070256559794,120245.65,574488.93,57530
49c97cde-16cf-405c-a108-4589f080e275,1953-01-02,,999-60-7628,S99997072,X84460006X,Mr.,Kim439,Quinton758,Hermann103,,,D,asian,nonhispanic,M,Arlington  Massachusetts  US,288 Hegmann Avenue Suite 28,Pembroke,Massachusetts,Plymouth County,,00000,42.08824720726349,-70.81631019114174,56032.01,170026.42,33358
20c20aaf-83dc-af0a-63ea-91c80785324c,1975-11-20,,999-32-6938,S99912563,X77479785X,Mr.,Terrell212,Hoyt490,Ledner144,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,850 Beatty Alley Suite 0,Brockton,Massachusetts,Plymouth County,25023,02302,42.055015548546606,-71.00907785837215,16021.74,749505.89,15604
240e6dc6-9182-bac5-ed48-80ffea846e0b,1968-09-23,,999-53-6929,S99975520,X50268678X,Mr.,Francisco472,,Aponte375,,,M,asian,hispanic,M,Port-au-Prince  Haiti  HT,743 Medhurst Boulevard Unit 15,Boston,Massachusetts,Suffolk County,25025,02124,42.338579425512044,-71.10567550641717,204391.38,94301.60,174314
364ac6c3-3187-4634-e853-e0aad5455b3c,1964-10-26,,999-86-2806,S99970647,X18087247X,Mr.,Wilton999,Valentin929,Schneider199,,,W,white,nonhispanic,M,East Bridgewater  Massachusetts  US,516 Parisian Wall Apt 52,Fitchburg,Massachusetts,Worcester County,25027,01420,42.59470389931182,-71.80524175582153,350933.17,61094.94,40991
16514a3c-d3aa-1ac2-e773-6bbae4f6500f,1967-04-04,,999-40-9470,S99947370,X27024813X,Mrs.,Paulita78,Velva240,Cassin499,,Hilpert278,M,white,nonhispanic,F,Millis  Massachusetts  US,1094 Von Mill,Attleboro,Massachusetts,Bristol County,25005,02703,41.925722777668454,-71.26540173085075,804665.67,406289.41,90523
eafa998c-b16b-74b3-d696-5a1d1dccbaba,2008-01-13,,999-10-1998,S99964941,,Mr.,Joseph689,Edmundo94,Cummings51,,,,white,nonhispanic,M,Everett  Massachusetts  US,393 Armstrong Vale Suite 32,Sterling,Massachusetts,Worcester County,,00000,42.43419299696947,-71.76059151011113,57840.46,19978.12,50606
fe7ad69d-4b82-965e-7d01-470c14359257,2012-07-29,,999-78-7894,,,,Pamelia915,Yahaira79,Wyman904,,,,white,nonhispanic,F,Oxford  Massachusetts  US,923 Willms Rue,Tyngsborough,Massachusetts,Middlesex County,,00000,42.683482498577625,-71.45457021440916,9021.39,115316.20,79187
9cca55e0-1aca-7b97-5c97-b5a3fe82b452,1991-06-07,,999-30-7699,S99963479,X47430023X,Mrs.,Shelly431,Kayce253,Abbott774,,Dietrich576,M,white,nonhispanic,F,Waltham  Massachusetts  US,1004 Marquardt Meadow,Danvers,Massachusetts,Essex County,25009,01923,42.580219492319,-70.9089483696541,328230.77,890148.11,49142
72f52df1-b7fd-feb9-707c-d532c45158b4,1944-09-01,,999-74-1844,S99988187,X18643644X,Mr.,Sean831,Norman647,Stokes453,,,M,white,nonhispanic,M,Truro  Massachusetts  US,1026 Turner Heights,Sandwich,Massachusetts,Barnstable County,25001,02563,41.773335967482744,-70.43240915516782,494024.46,362192.09,72942
